rdf-schema#label,author_label,firstPublicationDate,lastPublicationDate,magazine_label,numberOfVolumes,publisher_label
Mouryou Kiden,Tamayo Akiyama,NULL,NULL,Monthly Asuka,3,{Tokyopop|Kadokawa Shoten}
Mouse (manga),Satoru Akahori,{2003-01-31|2005-12-20},NULL,Young Animal,{1|14},{Hakusensha|Fujimi Shobo}
Moyasimon: Tales of Agriculture,Masayuki Ishikawa,NULL,NULL,{Evening (magazine)|Morning_two},13,Kodansha
Mr. Fullswing,Shinya Suzuki,2001-01-01,NULL,Weekly Shōnen Jump,24,Shueisha
Mr. Nietzsche in the Convenience Store,NULL,NULL,NULL,Monthly Comic Gene,4,Kadokawa Corporation
Mudazumo Naki Kaikaku,Hideki_Ohwada,NULL,NULL,NULL,16,Takeshobo
Mugen Spiral,Mizuho Kusanagi,2004-01-20,2004-09-04,Hana to Yume,2,{Tokyopop|Hakusensha}
Muhyo & Roji's Bureau of Supernatural Investigation,Yoshiyuki Nishi,NULL,NULL,Weekly Shōnen Jump,18,Shueisha
NULL,Koichi_Minade,1986-02-19,NULL,NULL,NULL,Kodansha
Muka Muka Paradise,Fumiko_Shiba,NULL,NULL,Ciao (magazine),3,Shogakukan
Multiple Personality Detective Psycho,Eiji Ōtsuka,NULL,NULL,{Monthly Shōnen Ace|Young Ace},22,Kadokawa Shoten
NULL,Kyoto Animation,NULL,NULL,Monthly Comp Ace,2,Kadokawa Shoten
Murder Princess,Sekihiko Inui,NULL,NULL,Dengeki Daioh,2,MediaWorks (publisher)
Murikuri,Clamp (manga artists),NULL,NULL,Weekly Young Magazine,1,Kodansha
Muromi-san,NULL,NULL,NULL,Weekly Shōnen Magazine,11,Kodansha
Musashi Number 9,Miyuki_Takahashi_(manga_artist),NULL,NULL,Kirara_16,21,{CMX (comics)|Akita Shoten}
Musashi no Ken,Motoka Murakami,NULL,NULL,Weekly Shōnen Sunday,24,Shogakukan
Musashino-sen no Shimai,Yukiwo,NULL,NULL,NULL,5,{Flex Comix|G-Mode}
Mushi-Uta,Kyouhei_Iwai,{2003-05-01|2003-12-27|2007-03-26},{2007-10-26|2008-08-30|2014-05-01},{Monthly Shōnen Ace|The Sneaker},{2|8|16},Kadokawa Shoten
Mushibugyo,NULL,NULL,NULL,{Weekly Shōnen Sunday|Shōnen Sunday Super},{3|22},Shogakukan
Mushishi,Yuki Urushibara,NULL,2008-08-25,Monthly Afternoon,10,Kodansha
Mushoku Tensei,NULL,{2012-11-22|2014-05-02},2015-04-03,Monthly Comic Flapper,{3|9|24},Media Factory
Muteki Kanban Musume,Jun Sadogawa,{2002-05-16|2006-03-16},{2006-02-23|2007-04-26},Weekly Shōnen Champion,{5|17},Akita Shoten
Muv-Luv,{Azusa_Maxima|Takashi_Ishigaki},2006-10-25,{2009-06-30|2013-03-30},Dengeki Daioh,{3|4|6|7|13},{MediaWorks (publisher)|Shueisha|Enterbrain}
My-HiME (manga),Noboru_Kimura,2004-11-11,2005-07-07,Weekly Shōnen Champion,5,Akita Shoten
My-HiME Destiny,Hideaki_Ibuki,2007-02-28,2008-03-29,Charano!,2,Hobby Japan
My-Otome (manga),{Hiroyuki Yoshino (screenwriter)|Tatsuhito_Higuchi},NULL,NULL,Weekly Shōnen Champion,5,Akita Shoten
My Bride Is a Mermaid,NULL,NULL,NULL,Gangan Comics,16,Square Enix
My Darling Is a Foreigner,Saori Oguri,NULL,NULL,NULL,3,Media Factory
My Dear Marie,Sakura_Takeuchi,NULL,NULL,Weekly Young Jump,10,Shueisha
My Dearest Devil Princess,Makoto_Matsumoto,2007-11-26,NULL,Comic Rush,6,Jive (publisher)
My Favorite Carrera,Kia Asamiya,NULL,NULL,Comic Birz,24,{Shueisha|Gentosha}
My Girlfriend's a Geek,Pentabu,{2006-12-08|2007-12-01},{2007-08-01|2010-03-01},NULL,{2|5},{Yen Press|Enterbrain}
My Girlfriend is a T-Rex,NULL,2015-10-27,NULL,NULL,1,Kadokawa Corporation
My Heavenly Hockey Club,Ai Morinaga,NULL,NULL,Bessatsu Friend,14,{Kodansha|Del Rey Manga}
My Hero Academia,Kōhei Horikoshi,{2014-07-07|2015-11-09},NULL,Weekly Shōnen Jump,7,Shueisha
My Little Monster,NULL,2008-08-23,2013-06-24,Dessert (magazine),12,Kodansha
My Love Story!!,Kazune Kawahara,NULL,NULL,{Bessatsu Margaret|Bessatsu_Margaret_Sister},10,Shueisha
My Lovely Ghost Kana,Yutaka Tanaka,NULL,NULL,NULL,3,Takeshobo
My Monster Secret,NULL,NULL,NULL,Weekly Shōnen Champion,15,Akita Shoten
My Neighbor Seki,NULL,NULL,NULL,Monthly Comic Flapper,8,Media Factory
My Only King,Lily Hoshino,2004-08-28,NULL,NULL,1,Digital Manga
My Paranoid Next Door Neighbor,Kazuka Minami,2004-07-24,NULL,NULL,1,Tokuma Shoten
My Teen Romantic Comedy SNAFU,NULL,{2011-03-18|2012-09-25|2012-12-19|2013-03-22},NULL,Monthly Sunday Gene-X,{1|4|6|11},{Square Enix|Shogakukan|Ichijinsha}
My Wife is the Student Council President,NULL,2012-01-21,NULL,Comic Rex,8,Ichijinsha
Myriad Colors Phantom World,NULL,2013-12-20,NULL,NULL,3,Kyoto Animation
Myself ; Yourself,Takumi Nakazawa,2007-03-30,2007-11-30,Dengeki G's Magazine,6,MediaWorks (publisher)
Mysterious Girlfriend X,Riichi Ueshiba,2006-08-23,2014-09-25,Monthly Afternoon,12,Kodansha
Mysterious Joker,NULL,NULL,NULL,CoroCoro Comic,20,Shogakukan
MÄR,Nobuyuki Anzai,NULL,NULL,Weekly Shōnen Sunday,{4|15},Shogakukan
M×0,Yasuhiro Kanō,2006-05-01,2008-05-19,Weekly Shōnen Jump,10,Shueisha
Mōretsu Atarō,Fujio Akatsuka,NULL,NULL,Weekly Shōnen Sunday,NULL,Shogakukan
Mōryō no Hako,{Natsuhiko Kyogoku|Aki Shimizu},NULL,NULL,NULL,5,{Kodansha|Kadokawa Shoten}
Mōryō no Yurikago,Kei Sanbe,NULL,2012-08-17,Gangan Comics,6,Square Enix
NG Life,Mizuho Kusanagi,2005-12-26,2009-03-05,Hana to Yume,9,Hakusensha
NOiSE,Tsutomu Nihei,NULL,NULL,Monthly Afternoon,1,Kodansha
Nabari no Ou,Yuhki Kamatani,NULL,NULL,Gangan Comics,14,Square Enix
Nagai Yume,Junji Ito,NULL,NULL,NULL,NULL,NULL
Nagareboshi Lens,NULL,NULL,2014-07-03,Ribon,10,Shueisha
Nagasarete Airantō,NULL,2004-11-30,2007-03-22,Gangan Comics,{3|22},Square Enix
Nagi-Asu: A Lull in the Sea,NULL,2013-09-27,NULL,Dengeki Daioh,{1|5},ASCII Media Works
Naisho no Tsubomi,Yū Yabūchi,NULL,2012-04-27,NULL,8,Shogakukan
NULL,NULL,NULL,NULL,Monthly Comic Flapper,3,Media Factory
Naka no Hito nado Inai! Tokyo Hero Project,ALcot,2014-01-25,NULL,NULL,1,Enterbrain
Nakaimo - My Sister Is Among Them!,NULL,2010-08-25,2013-03-25,Monthly Comic Alive,{5|10},Media Factory
Nana (manga),Ai Yazawa,NULL,NULL,Cookie (manga magazine),21,Shueisha
Nana to Kaoru,NULL,{2008-11-28|2011-06-29|2011-10-07},{2014-01-29|2014-04-04},{Young Animal|Young Animal Arashi},{1|5|15},Hakusensha
Nanaka 6/17,Ken Yagami,NULL,NULL,Weekly Shōnen Champion,12,Akita Shoten
Nanako SOS,Hideo Azuma,NULL,NULL,{Popcorn_(magazine)|Just_Comic|Azuma_Magazine},5,{Hideo Azuma|Kobunsha|Magazine_House|Hayakawa_Publishing}
Nanana's Buried Treasure,NULL,{2012-01-30|2013-08-30},NULL,NULL,{2|7},Enterbrain
Nanatsuiro Drops,NULL,{2006-06-30|2007-04-27},2008-02-27,{Dengeki Comic Gao!|Dengeki G's Magazine},{1|6},{ASCII Media Works|MediaWorks (publisher)|Enterbrain}
Naniwa Kin'yūdō,Yūji Aoki,NULL,NULL,Weekly Morning,{19|20},Kodansha
Naruto,Masashi Kishimoto,{1999-09-21|2015-04-27},{2014-11-10|2015-07-06},Weekly Shōnen Jump,{1|72},Shueisha
Nasu (manga),Iou Kuroda,NULL,NULL,Monthly Afternoon,3,Kodansha
Natsu e no Tobira,Keiko Takemiya,NULL,NULL,Hana to Yume,1,Hakusensha
Natsu no Arashi!,Jin Kobayashi,2006-08-25,2010-09-22,Gangan Comics,8,Square Enix
Natsuiro Kiseki,Sunrise (company),2012-01-20,2013-03-15,Gangan Comics,3,Square Enix
Natsuko's Sake,Akira Oze,NULL,NULL,Weekly Morning,12,Kodansha
Natsume's Book of Friends,Yuki Midorikawa,NULL,NULL,{LaLa|LaLa DX},19,Hakusensha
Natsuyuki Rendezvous,NULL,NULL,NULL,Feel Young,4,Shodensha
Nausicaä of the Valley of the Wind (manga),Hayao Miyazaki,NULL,NULL,Animage,7,Tokuma Shoten
Necratoholic,Maguro_Wasabi,2006-10-10,NULL,NULL,1,Libre Publishing
Needless,Kami Imai,NULL,NULL,Ultra Jump,17,Shueisha
Negiho,NULL,2010-09-09,NULL,Bessatsu Shōnen Magazine,1,{Kodansha Comics USA|Kodansha}
NULL,Takuya_Fujima,NULL,NULL,{Comic BomBom|Magazine Special},7,Kodansha
Negima! Magister Negi Magi,Ken Akamatsu,2003-02-26,2012-03-14,Weekly Shōnen Magazine,38,Kodansha
Neighborhood Story,Ai Yazawa,NULL,NULL,Ribon,7,Shueisha
Neko Janai mon!,Kentarō Yano,NULL,NULL,Weekly Young Jump,{10|11|13},{Shueisha|Leed_Publishing}
Neko Majin,Akira Toriyama,NULL,NULL,{Weekly Shōnen Jump|Monthly Shōnen Jump},1,Shueisha
Neko Rahmen,NULL,NULL,NULL,{Monthly Comic Blade|Comic Blade Masamune|Eden (magazine)},{1|5},Mag Garden
Nekogami Yaoyorozu,NULL,NULL,2012-10-19,Champion Red,6,Akita Shoten
Neo Gomanism Manifesto Special – On Taiwan,Yoshinori Kobayashi,NULL,NULL,NULL,NULL,Shogakukan
Neo Gōmanism Manifesto Special – On War,Yoshinori Kobayashi,NULL,NULL,SAPIO,3,Gentosha
Neon Genesis Evangelion: Angelic Days,Fumino Hayashi,NULL,NULL,Monthly Asuka,6,{A.D. Vision|Kadokawa Shoten}
Neon Genesis Evangelion: Campus Apocalypse,Ming_Ming_(mangaka),NULL,NULL,Monthly Asuka,4,{Dark Horse Comics|Kadokawa Shoten}
Neon Genesis Evangelion: Shinji Ikari Raising Project,NULL,NULL,NULL,Monthly Shōnen Ace,17,{Dark Horse Comics|Kadokawa Shoten}
Neon Genesis Evangelion (manga),Yoshiyuki Sadamoto,1994-12-26,2013-06-04,{Monthly Shōnen Ace|Young Ace},14,Kadokawa Shoten
Nephilim (manga),Anna_Hanamaki,NULL,NULL,NULL,2,Asahi Sonorama
Neppu Kairiku Bushi Road,NULL,NULL,NULL,NULL,NULL,Bushiroad
Nerawareta Gakuen,Taku Mayumura,NULL,NULL,NULL,2,{Kodansha|Kadokawa Shoten}
Nerima Daikon Brothers,Takamitsu_Kondō,NULL,NULL,Comic Rush,5,Jive (publisher)
NULL,NULL,NULL,NULL,Kerokero Ace,1,Kadokawa Shoten
Netoge no Yome wa Onna no Ko Janai to Omotta?,NULL,2014-08-30,NULL,Dengeki G's Comic,{1|8},ASCII Media Works
Neuro: Supernatural Detective,Yūsei Matsui,2005-02-21,2009-04-20,Weekly Shōnen Jump,23,Shueisha
Never Give Up!,Hiromu_Mutou,NULL,NULL,Hana to Yume,13,{Tokyopop|Hakusensha}
New Fist of the North Star,Buronson,1996-12-18,NULL,NULL,NULL,NULL
New Game!,NULL,2013-01-28,NULL,Manga Time Kirara Carat,3,Houbunsha
New Mobile Report Gundam Wing: Frozen Teardrop,Katsuyuki_Sumizawa,NULL,NULL,Gundam Ace,10,Kadokawa Shoten
New Mobile Report Gundam Wing Dual Story: G-Unit,Kōichi Tokita,NULL,NULL,Comic BomBom,3,Kodansha
Nichijou,NULL,NULL,NULL,{Monthly Shōnen Ace|Comptiq},10,Kadokawa Shoten
Nigeru wa Haji da ga Yaku ni Tatsu,NULL,2012-11-09,NULL,Kiss (Japanese magazine),5,Kodansha
NULL,{FarEast Amusement Research|Takeshi_Kikuchi},NULL,NULL,Famitsu_Playstation_+,2,Enterbrain
Nightmares for Sale,Kaoru_Ohashi,NULL,NULL,NULL,2,Asahi Sonorama
Niji-iro Prism Girl,An Nakahara,NULL,NULL,Ciao (magazine),7,Shogakukan
Niji Iro Tōgarashi,Mitsuru Adachi,NULL,NULL,Weekly Shōnen Sunday,11,Shogakukan
Nijiiro Days,NULL,NULL,NULL,Bessatsu Margaret,10,Shueisha
Nijitte Monogatari,Kazuo Koike,NULL,NULL,NULL,110,Shogakukan
Nijū Mensō no Musume,NULL,2007-10-05,2008-09-05,Monthly Comic Flapper,{2|8},Media Factory
Nine (manga),Mitsuru Adachi,NULL,NULL,Shōnen Sunday Super,5,Shogakukan
Ningen Karimenchū,NULL,2012-05-18,NULL,NULL,1,NULL
NULL,NULL,1996-05-25,NULL,NULL,NULL,Fujimi Shobo
Ninja Girls,NULL,NULL,NULL,Monthly Shōnen Sirius,9,Kodansha
Ninja Hattori-kun,Fujiko Fujio,NULL,NULL,CoroCoro Comic,16,Shogakukan
Ninja Nonsense,NULL,NULL,NULL,Dengeki Daioh,4,MediaWorks (publisher)
Ninja Slayer,NULL,{2012-09-29|2013-06-27|2013-07-02|2014-01-22},NULL,{Monthly Comp Ace|Suiyoubi_no_Sirius},{2|3|5|16},{Kadokawa Shoten|Enterbrain}
Ninku,Kōji Kiriyama,NULL,2011-09-17,{Weekly Shōnen Jump|Ultra Jump},{9|12},Shueisha
Ninpen Manmaru,Mikio Igarashi,NULL,NULL,Gangan Comics,11,Enix
Nisekoi,Naoshi Komi,{2011-01-08|2011-11-07|2013-06-04},2013-12-28,Weekly Shōnen Jump,{2|21},Shueisha
No-Rin,Shirow_Shiratori,{2011-08-15|2013-08-24|2013-10-17},2014-08-25,NULL,{2|8|11},{Square Enix|SB Creative}
No. 5 (manga),Taiyō Matsumoto,NULL,NULL,Monthly Ikki,8,Shogakukan
No. 6,Atsuko Asano (writer),2003-10-10,2011-06-14,Aria (magazine),9,Kodansha
No Bra,Kenjiro_Kawatsu,NULL,NULL,Monthly Shōnen Champion,5,Akita Shoten
No Game No Life,Yuu Kamiya,{2012-04-25|2013-01-27},NULL,Monthly Comic Alive,{1|8},Media Factory
No Money,NULL,NULL,2014-03-26,NULL,{8|11},NULL
Nobunaga Concerto,NULL,NULL,NULL,Monthly Shōnen Sunday,12,Shogakukan
Nobunaga no Shinobi,NULL,NULL,NULL,{Young Animal|Young Animal Arashi},{1|9},Hakusensha
Nobunagun,NULL,2011-05-12,2015-08-28,Comic Earth Star,6,Earth Star Entertainment
Nodame Cantabile,Tomoko Ninomiya,{2001-07-10|2009-12-10},{2009-10-10|2010-09-10},Kiss (Japanese magazine),{2|23},Kodansha
Nogizaka Haruka no Himitsu,Yūsaku Igarashi,2004-10-10,2012-07-10,Dengeki Daioh,{4|16},ASCII Media Works
Non Non Biyori,NULL,2009-09-26,NULL,Monthly Comic Alive,9,Media Factory
Nonchan Noriben,Kiwa_Irie,NULL,NULL,Weekly Morning,4,Kodansha
Nono-chan,Hisaichi Ishii,NULL,NULL,Asahi Shimbun,{3|6|7|10|11|12},{Asahi Shimbun|Futabasha|Tokyo Sogensha|Tokuma Shoten}
Nononono,Lynn Okamoto,NULL,NULL,Weekly Young Jump,13,Shueisha
Nora: The Last Chronicle of Devildom,Nora: The Last Chronicle of Devildom,2004-03-06,2006-12-06,Monthly Shōnen Jump,9,{Viz Media|Shueisha}
Noragami,NULL,2010-12-06,NULL,Monthly Shōnen Magazine,15,Kodansha
Norakuro,Suihō Tagawa,NULL,NULL,NULL,NULL,Kodansha
North Wind (visual novel),F&C (eroge maker),NULL,NULL,Dengeki Daioh,NULL,ASCII Media Works
Nosatsu Junkie,Ryōko_Fukuyama,NULL,NULL,Hana to Yume,16,{Tokyopop|Hakusensha}
Not Enough Time (manga),Shoko_Hidaka,2005-10-28,NULL,NULL,1,{Digital Manga|Houbunsha}
Not Lives,NULL,NULL,NULL,Dengeki Daioh,8,ASCII Media Works
Notari Matsutarō,Tetsuya Chiba,NULL,NULL,Big Comic,36,Shogakukan
Noucome,NULL,{2012-02-01|2013-02-01},{2015-05-01|2016-02-01},NULL,{5|12},{Kadokawa Shoten|Enterbrain}
Nozoki Ana,Wakoh_Honna,NULL,NULL,Moba_Man,13,Shogakukan
Nozomi Witches,Toshio Nobe,NULL,NULL,Weekly Young Jump,48,Shueisha
Nui!,Natsumi Mukai,NULL,NULL,Comic Rush,3,{Jive (publisher)|Broccoli_Books_(publisher)}
Nura: Rise of the Yokai Clan,Hiroshi Shiibashi,NULL,NULL,Weekly Shōnen Jump,25,Shueisha
Nurse Angel Ririka SOS,Yasushi Akimoto,NULL,NULL,Ribon,4,Shueisha
Nurse Hitomi's Monster Infirmary,NULL,2013-09-19,NULL,Monthly Comic Ryū,4,Tokuma Shoten
NULL,NULL,2003-08-27,2003-09-29,Young Animal Arashi,2,Hakusensha
Nursery Rhyme (visual novel),NULL,2006-09-25,NULL,NULL,NULL,Softgarage
Nyan Koi!,NULL,2007-08-10,NULL,NULL,6,Flex Comix
Nyanpire,NULL,NULL,NULL,NULL,4,NULL
Nyaruko: Crawling with Love,NULL,{2009-04-15|2011-05-06|2011-10-05},2014-03-17,NULL,{2|5|12},{SB Creative|Flex Comix|Shueisha}
Nōnai Poison Berry,Setona Mizushiro,2009-12-28,NULL,Cocohana,4,Shueisha
O-Parts Hunter,Seishi Kishimoto,NULL,NULL,Gangan Comics,19,{Viz Media|Gangan Comics}
OL Shinkaron,Risu Akizuki,NULL,NULL,Weekly Morning,{1|37},Kodansha
Obake no Q-tarō,Fujiko Fujio,NULL,NULL,{Weekly Shōnen Sunday|CoroCoro Comic|Bessatsu Shōnen Sunday|Shōnen Book},{4|6},Shogakukan
Obatarian,Katsuhiko_Hotta,NULL,NULL,Manga Life,13,Takeshobo
Ocean Waves (film),Saeko Himuro,NULL,NULL,NULL,NULL,Tokuma Shoten
Octopus Girl,Toru_Yamazaki,NULL,NULL,NULL,3,Dark Horse Comics
Ode to Kirihito,Osamu Tezuka,NULL,NULL,Big Comic,4,Shogakukan
Of the Red the Light and the Ayakashi,NULL,NULL,NULL,Monthly Comic Gene,8,Media Factory
Ogenki Clinic,Haruka_Inui,NULL,NULL,Play_Comic,9,{Studio Ironcat|Akita Shoten}
Ogre Slayer,Kei Kusunoki,1992-02-18,2001-04-18,Shōnen Sunday Super,20,Shogakukan
Oh! Edo Rocket,{Kazuki Nakashima|Una_Hamana},NULL,NULL,Monthly Afternoon,3,Kodansha
Oh My Goddess!,{Yumi Tōma|Kōsuke Fujishima},{1988-09-24|2007-07-20},2014-04-25,Monthly Afternoon,48,Kodansha
Ohayō! Spank,Shun'ichi Yukimuro,NULL,NULL,Nakayoshi,7,Kodansha
Ohikkoshi,Hiroaki Samura,NULL,NULL,NULL,1,{Dark Horse Comics|Kodansha}
Ohime-sama Navigation,NULL,NULL,NULL,Dengeki G's Magazine,{1|3},ASCII Media Works
Oira Sukeban,Go Nagai,1974-08-04,1976-01-25,Weekly Shōnen Sunday,7,Shogakukan
Oishinbo,Tetsu_Kariya,NULL,NULL,Big Comic Spirits,111,Shogakukan
NULL,NULL,2011-12-02,2012-11-30,NULL,3,Kodansha
NULL,NULL,2013-07-02,2014-02-28,NULL,3,Kodansha
NULL,NULL,2014-09-04,2015-06-02,NULL,2,Kodansha
NULL,NULL,NULL,NULL,NULL,1,Kodansha
NULL,Izumi Todo,NULL,NULL,Nakayoshi,3,Kodansha
NULL,Izumi Todo,NULL,NULL,Nakayoshi,NULL,Kodansha
Ojamanga Yamada-kun,Hisaichi Ishii,NULL,NULL,NULL,NULL,NULL
Ojarumaru,Tatsuma Ejiri,NULL,NULL,{Ciao (magazine)|Saikyō Jump},1,{Shogakukan|Shueisha}
Ojisan to Marshmallow,NULL,NULL,NULL,NULL,2,Ichijinsha
Okami-san,NULL,NULL,NULL,Big Comic Original,17,Shogakukan
Okojo-san,Ayumi_Uno,NULL,NULL,LaLa,8,Hakusensha
Oku-sama wa Joshi Kōsei,NULL,NULL,NULL,Weekly Young Jump,13,Shueisha
NULL,NULL,NULL,NULL,Dengeki Comic Gao!,3,ASCII Media Works
Okusama wa 18-sai,Miyoko_Motomura,NULL,NULL,Margaret (magazine),NULL,Shueisha
Old Boy (manga),Marley Carib,NULL,NULL,Manga Action,8,Futabasha
Omamori Himari,NULL,{2006-06-09|2008-07-19|2011-09-09},{2010-01-20|2013-09-09},{Dragon Magazine (Fujimi Shobo)|Monthly Dragon Age},{4|13},{Kadokawa Shoten|Fujimi Shobo}
Omishi Magical Theater: Risky Safety,Rei Omishi,NULL,NULL,Dengeki Comic Gao!,3,MediaWorks (publisher)
Omukae desu,Meca Tanaka,2016-02-24,NULL,LaLa,5,{CMX (comics)|Hakusensha}
One-Punch Man,One (manga artist),2012-06-14,NULL,Weekly Young Jump,10,{Shueisha|Self-publishing}
One-pound Gospel,Rumiko Takahashi,NULL,NULL,Weekly Young Sunday,4,Shogakukan
One: Kagayaku Kisetsu e,Midori Tateyama,1998-08-31,2000-04-01,NULL,4,Movic
One Outs,Shinobu Kaitani,NULL,NULL,Business Jump,{1|20},Shueisha
One Piece,Eiichiro Oda,1997-07-19,NULL,Weekly Shōnen Jump,80,Shueisha
One Week Friends,NULL,2012-01-21,2015-01-22,Gangan Comics,7,Square Enix
Oneechan ga Kita,NULL,NULL,NULL,Manga Life,6,Takeshobo
NULL,Takashi_Yamada,2013-03-08,NULL,NULL,NULL,PHP_Interface
OniAi,NULL,2010-12-21,NULL,Monthly Comic Alive,{1|6|11},Media Factory
Onidere,Crystal_na_Yōsuke,NULL,NULL,Weekly Shōnen Sunday,12,Shogakukan
Onihime VS,Lim Dall-young,2008-09-30,2012-11-02,Comic Valkyrie,4,Kill Time Communication
Oniisama e...,Riyoko Ikeda,1975-08-20,1975-10-20,Margaret (magazine),3,Shueisha
Oninagi,NULL,NULL,NULL,Manga Time Kirara Forward,4,Houbunsha
Only Serious About You,NULL,2010-05-29,NULL,NULL,2,{Digital Manga|Houbunsha}
Only the Ring Finger Knows,Satoru_Kannagi,NULL,2008-09-25,NULL,{1|5},Tokuma Shoten
Onmyō Taisenki,Yoshihiko_Tomizawa,NULL,NULL,V Jump,3,Shueisha
Onmyōji (manga),Reiko Okano,NULL,NULL,{Comic Birz|Melody (magazine)},{3|13},Hakusensha
Onna no Ana,NULL,2011-09-13,NULL,NULL,1,Tokuma Shoten
Onna no Ko tte.,NULL,NULL,NULL,Ribon,3,Shueisha
Onsen Yōsei Hakone-chan,NULL,NULL,NULL,NULL,2,NULL
Onward Towards Our Noble Deaths,Shigeru Mizuki,NULL,NULL,Shūkan Gendai,1,Kodansha
Ooya-san wa Shishunki!,NULL,NULL,NULL,Manga Time,5,Houbunsha
Open Sesame (manga),Kawakata_Kaoru,2001-03-16,2008-06-16,NULL,20,Kodansha
Opus (manga),Satoshi Kon,NULL,NULL,NULL,2,{Dark Horse Comics|Tokuma Shoten}
Orange (manga),NULL,2016-03-25,NULL,Bessatsu Margaret,5,{Seven Seas Entertainment|Futabasha|Crunchyroll|Shueisha}
Orange Pocket,Jōji Kamio,2003-10-20,2004-04-15,NULL,3,Softgarage
Ordinary Crush,Hyouta_Fujiyama,NULL,NULL,NULL,2,Frontier Works
Oreimo,Tsukasa Fushimi,2008-08-10,2013-06-07,{Dengeki G's Magazine|Dengeki G's Comic},{4|6|12},ASCII Media Works
Orenchi no Furo Jijō,NULL,NULL,NULL,Monthly Comic Gene,5,Media Factory
Oresama Teacher,Izumi Tsubaki,NULL,NULL,Hana to Yume,20,Hakusensha
Oreshura,NULL,{2011-02-15|2011-10-21|2011-10-25|2012-12-25},{2012-10-25|2013-04-05|2013-08-24},Gangan Comics,{1|2|7|11},{Square Enix|SB Creative}
Oretachi ni Asu wa Naissu,Akira Sasō,NULL,NULL,Big Comic Spirits,2,Shogakukan
Orfina (manga),NULL,{1993-11-09|2004-08-09},{2004-05-08|2010-12-09},Monthly Dragon Age,{8|12},{CMX (comics)|Kadokawa Shoten}
Orion (manga),Masamune Shirow,1991-12-24,NULL,NULL,NULL,Dark Horse Comics
Orochi: Blood,Kazuo Umezu,NULL,NULL,Weekly Shōnen Sunday,NULL,{Shogakukan|Viz Media}
Orpheus no Mado,Riyoko Ikeda,NULL,NULL,Margaret (magazine),18,Shueisha
Oruchuban Ebichu,Risa Itō,NULL,NULL,NULL,15,Futabasha
Osomatsu-kun,Fujio Akatsuka,1962-04-15,1969-01-15,{Weekly Shōnen Sunday|Comic BomBom|Boy's Life (Japanese magazine)},34,{Shogakukan|Kodansha|Shōnen Gahōsha}
NULL,NULL,NULL,NULL,You (Japanese magazine),NULL,Shueisha
NULL,NULL,2016-07-29,NULL,NULL,NULL,NULL
Osu!! Karate Bu,NULL,NULL,NULL,Weekly Young Jump,43,Shueisha
Otaku no Musume-san,Stu-Hiro,2006-12-01,2011-10-08,Monthly Dragon Age,11,Fujimi Shobo
Otakus in Love,Jun_Hanyunyū,NULL,NULL,Comic Beam,NULL,Enterbrain
Othello (Satomi Ikezawa manga),Satomi Ikezawa,2001-08-06,2004-09-13,Bessatsu Friend,7,Kodansha
Othello (Toui Hasumi manga),Toui_Hasumi,2002-10-10,NULL,NULL,1,{Digital Manga|Outou_Shobou}
Otherworld Barbara,Moto Hagio,NULL,NULL,Flowers (magazine),4,Shogakukan
Otogi Matsuri: Dark Offering,Junya_Inoue,NULL,NULL,Comic Gum,{8|12},{Central Park Media|Shinchosha|Wani Books}
NULL,NULL,2005-02-10,2005-07-08,Monthly Comic Blade,2,Mag Garden
Otogi no Machi no Rena,Mitsuru Hattori,NULL,NULL,Young Magazine Uppers,7,Kodansha
Otogimoyou Ayanishiki,Kyoko_Hikawa,NULL,NULL,{LaLa|Melody (magazine)},5,Hakusensha
Otoko no Isshō,Keiko Nishi,2009-03-10,2012-09-24,Flowers (magazine),4,Shogakukan
Otome Yōkai Zakuro,Lily Hoshino,NULL,NULL,Comic Birz,10,Gentosha
Otome wa Boku ni Koishiteru,Caramel Box,NULL,NULL,{Dengeki Daioh|Monthly Comp Ace},{2|3},{ASCII Media Works|Kadokawa Shoten}
Otomen,Aya Kanno,NULL,NULL,Bessatsu Hana to Yume,18,Hakusensha
Otoriyose Ōji Iida Yoshimi,NULL,NULL,NULL,Monthly Comic Zenon,5,Tokuma Shoten
Otouto Catcher Ore Pitcher De!,Shinji_Tonaka,2008-08-04,NULL,Monthly Shōnen Rival,15,Kodansha
Oumagadoki Zoo,Kōhei Horikoshi,NULL,2011-04-18,Weekly Shōnen Jump,5,Shueisha
Our Everlasting,Toko_Kawai,NULL,NULL,NULL,2,{Digital Manga|Libre Publishing}
Our Home's Fox Deity.,NULL,{2004-02-10|2007-02-27},2013-05-27,{Dengeki Comic Gao!|Dengeki Daioh},{7|11},ASCII Media Works
Our Kingdom,Naduki_Koujima,NULL,NULL,NULL,6,{Digital Manga|Libre Publishing}
Our Miracle,Our Miracle,NULL,NULL,Monthly Comic Zero Sum,12,Ichijinsha
Ouran High School Host Club,Bisco Hatori,NULL,NULL,LaLa,18,Hakusensha
Outbreak Company,Ichirō Sakaki,{2011-12-02|2012-11-07},2014-11-07,Good! Afternoon,{3|14},Kodansha
Outlanders (manga),Johji Manabe,NULL,NULL,Comicomi_Magazine,8,{Dark Horse Comics|Hakusensha}
Outlaw Star,Takehiko Itō,{1996-09-20|2000-07-14},1999-05-20,Ultra Jump,{1|2|3},Shueisha
